species,conservation_status,growth_rate,dispersal_ability,biomass,sensitivity_disturbance,interation_pollinator
Stachys_alpina,1,0.06,0.833333333,0.034384842,0.2,0.014011503
Stachys_annua,3,0.23,0.833333333,0.005914542,0.6,0.018858554
Stachys_officinalis,1,0.06,0.666666667,0.019490783,0,0.01275314
Stachys_officinalis_officinalis,1,0.06,0.666666667,0.019490783,0.2,0.040869828
Stachys_palustris,1,0.08,0.833333333,0.041166236,0.2,0.092302246
Stachys_pradica,2,0.06,0.833333333,0.004990749,0.4,0.018858554
Stachys_recta,1,0.06,0.833333333,0.019490783,0.2,0.017730271
Stachys_recta_recta,1,0.06,0.833333333,0.019490783,0.2,0.040869828
Stachys_sylvatica,1,0.06,0.833333333,0.031575435,0.2,0.11157453
Staphylea_pinnata,3,0.015,0.833333333,0.347168037,0.6,0.003350753
Stellaria_alsine,1,0.06,0.01,0.005914542,0.2,0.018392256
Stellaria_graminea,1,0.06,0.01,0.012211624,0.2,0.027636563
Stellaria_holostea,2,0.08,0.166666667,0.006403288,0.4,0.023568639
Stellaria_media,1,0.23,1,0.005443613,0.2,0.087973818
Stellaria_neglecta,2,0.08,0.166666667,0.01642195,0.4,0.024116162
Stellaria_nemorum,1,0.06,0.01,0.013559401,0.2,0.026484218
Stellaria_nemorum_montana,1,0.06,0.01,0.013559401,0.2,0.033183974
Stellaria_nemorum_nemorum,1,0.06,0.01,0.013559401,0.2,0.033183974
Stellaria_pallida,1,0.23,0.333333333,0.004140178,0.2,0.024116162
Stemmacantha_rhapontica,1,0.06,0.833333333,0.012211624,0.2,0.001512717
Stipa_capillata,2,0.06,0.833333333,0.038224666,0.4,0.072145923
Stipa_eriocaulis,2,0.06,0.01,0.020287917,0.4,0.072145923
Streptopus_amplexifolius,1,0.08,0.833333333,0.036292185,0.2,0.042081647
Succisa_pratensis,1,0.06,0.333333333,0.026168938,0.2,0.042902533
Swertia_perennis,2,0.06,0.01,0.009105105,0.4,0.00625
Symphytum_bulbosum,2,0.08,0.333333333,0.010301155,0.4,0.033631004
